City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Des Moines,41.5868353,-93.6249593,Iowa,United States of America,Des Moines Iowa United States of America ,82.5,38.3333333333
Batumi,41.6167547,41.6367455,Adjara,Georgia,Batumi Adjara Georgia ,90.625,25
Toledo,41.6528052,-83.5378674,Castile-La Mancha,Spain,Toledo Castile-La Mancha Spain ,75,50
Tbilisi,41.7151377,44.827096,,Georgia,Tbilisi  Georgia ,22.9838709677,49.347826087
Hartford,41.7658043,-72.6733723,Connecticut,United States of America,Hartford Connecticut United States of America ,65.3846153846,50
Shenyang,41.804778,123.432968,Liaoning,People's Republic of China,Shenyang Liaoning People's Republic of China ,6.25,76.5625
Providence,41.8239891,-71.4128343,Rhode Island,United States of America,Providence Rhode Island United States of America ,76.4705882353,59.6153846154
Chicago,41.8781136,-87.6297982,Illinois,United States of America,Chicago Illinois United States of America ,57.4324324324,53.6206896552
Girona,41.9794005,2.8214264,Catalonia,Spain,Girona Catalonia Spain ,100,0
Gori,41.9854144,44.108411,Shida Kartli,Georgia,Gori Shida Kartli Georgia ,75,50
Skopje,41.9981294,21.4254355,Greater Skopje,North Macedonia,Skopje Greater Skopje North Macedonia ,10.1941747573,45.2631578947
Springfield,42.1074085,-72.5827199,Illinois,United States of America,Springfield Illinois United States of America ,90.625,62.5
Springfield,42.1074085,-72.5827199,Oregon,United States of America,Springfield Oregon United States of America ,25,50
Plovdiv,42.1354079,24.7452904,Plovdiv region,Bulgaria,Plovdiv Plovdiv region Bulgaria ,31.4102564103,36.2903225806
Vigo,42.2405989,-8.7207268,Galicia,Spain,Vigo Galicia Spain ,86.4583333333,21.25
Detroit,42.331427,-83.0457538,Michigan,United States of America,Detroit Michigan United States of America ,51.2195121951,52.0833333333
L'Aquila,42.3498479,13.3995091,Abruzzo,Italy,L'Aquila Abruzzo Italy ,87.5,50
Burgos,42.3504659,-3.6893545,Castile and Leon,Spain,Burgos Castile and Leon Spain ,100,33.3333333333
Boston,42.3600825,-71.0588801,Massachusetts,United States of America,Boston Massachusetts United States of America ,78.2352941176,32.9113924051
Pontevedra,42.4298846,-8.6446202,Galicia,Spain,Pontevedra Galicia Spain ,96.4285714286,16.6666666667
Podgorica,42.4304196,19.2593642,Podgorica Municipality,Montenegro,Podgorica Podgorica Municipality Montenegro ,51.1363636364,38.8888888889
Pescara,42.4617902,14.2160898,Abruzzo,Italy,Pescara Abruzzo Italy ,61.1111111111,79.1666666667
Burgas,42.5047926,27.4626361,Burgas Province,Bulgaria,Burgas Burgas Province Bulgaria ,46.4285714286,46.7391304348
Andorra la Vella,42.5063174,1.5218355,Andorra la Vella,Andorra,Andorra la Vella Andorra la Vella Andorra ,37.5,25
Salem,42.51954,-70.8967155,Tamil Nadu,India,Salem Tamil Nadu India ,48.8095238095,64.2857142857
Terni,42.5636168,12.6426604,Umbria,Italy,Terni Umbria Italy ,42.5,50
Dubrovnik,42.6506606,18.0944238,Dubrovnik-Neretva County,Croatia,Dubrovnik Dubrovnik-Neretva County Croatia ,87.5,40
Albany,42.6525793,-73.7562317,New York,United States of America,Albany New York United States of America ,87.5,31.25
Montecchio,42.6625254,12.2871206,Umbria,Italy,Montecchio Umbria Italy ,87.5,50
Perpignan,42.6886591,2.8948332,,France,Perpignan  France ,95,50
Sofia,42.6977082,23.3218675,Sofia City Province,Bulgaria,Sofia Sofia City Province Bulgaria ,23.6213235294,40.9433962264
Lansing,42.732535,-84.5555347,Michigan,United States of America,Lansing Michigan United States of America ,92.8571428571,41.6666666667
Pamplona,42.812526,-1.6457745,Navarre,Spain,Pamplona Navarre Spain ,100,0
Bishkek,42.8746212,74.5697617,,Kyrgyzstan,Bishkek  Kyrgyzstan ,18.5714285714,45.9677419355
Buffalo,42.8864468,-78.8783689,New York,United States of America,Buffalo New York United States of America ,77.0833333333,36.9565217391
Sarnia,42.974536,-82.4065901,Ontario,Canada,Sarnia Ontario Canada ,70.5882352941,50
Makhachkala,42.9777885,47.5146913,Republic of Dagestan,Russia,Makhachkala Republic of Dagestan Russia ,62.5,43.75
Lugo,43.0097384,-7.5567582,Galicia,Spain,Lugo Galicia Spain ,100,50
Vladikavkaz,43.0252344,44.6659759,Republic of North Ossetia-Alania,Russia,Vladikavkaz Republic of North Ossetia-Alania Russia ,50,25
Milwaukee,43.0389025,-87.9064736,Wisconsin,United States of America,Milwaukee Wisconsin United States of America ,79.0697674419,43.2926829268
Syracuse,43.0481221,-76.1474244,Sicily,Italy,Syracuse Sicily Italy ,59.375,75
Sapporo,43.0617713,141.3544506,Hokkaido Prefecture,Japan,Sapporo Hokkaido Prefecture Japan ,81.25,25
Perugia,43.1107168,12.3908279,Umbria,Italy,Perugia Umbria Italy ,70,50
Vladivostok,43.1332484,131.9112975,Primorsky Krai,Russia,Vladivostok Primorsky Krai Russia ,35,67.5
Brantford,43.1393867,-80.2644254,Ontario,Canada,Brantford Ontario Canada ,75,43.3333333333
Hvar,43.1541875,16.6527099,Split-Dalmatia County,Croatia,Hvar Split-Dalmatia County Croatia ,75,25
Varna,43.2140504,27.9147333,Varna Province,Bulgaria,Varna Varna Province Bulgaria ,40.1041666667,48.8888888889
Almaty,43.2220146,76.8512485,,Kazakhstan,Almaty  Kazakhstan ,11.8303571429,48.8636363636
Bilbao,43.2630126,-2.9349852,Basque Autonomous Community,Spain,Bilbao Basque Autonomous Community Spain ,70,26.3157894737
Marseille,43.296482,5.36978,,France,Marseille  France ,29.4444444444,52.4390243902
Macerata,43.2984268,13.4534767,Marche,Italy,Macerata Marche Italy ,93.75,8.3333333333
Siena,43.318809,11.3307574,Tuscany,Italy,Siena Tuscany Italy ,81.25,21.4285714286
Saginaw,43.4194699,-83.9508068,Michigan,United States of America,Saginaw Michigan United States of America ,85,70
Split,43.5147,16.4435,Split-Dalmatia County,Croatia,Split Split-Dalmatia County Croatia ,71.7105263158,30
Gijon,43.5322015,-5.6611195,Asturias,Spain,Gijon Asturias Spain ,50,25
Livorno,43.548473,10.3105674,Tuscany,Italy,Livorno Tuscany Italy ,55.5555555556,62.5
Cannes,43.552847,7.017369,,France,Cannes  France ,75,25
Aviles,43.5579523,-5.9246653,Asturias,Spain,Aviles Asturias Spain ,50,50
Sochi,43.6028079,39.7341543,Krasnodar Krai,Russia,Sochi Krasnodar Krai Russia ,75,42.8571428571
Toulouse,43.604652,1.444209,,France,Toulouse  France ,61.2903225806,39.4230769231
Montpellier,43.610769,3.876716,,France,Montpellier  France ,71.6666666667,29.5454545455
Boise,43.6150186,-116.2023137,Idaho,United States of America,Boise Idaho United States of America ,68.9393939394,32.5
Ancona,43.6158299,13.518915,Marche,Italy,Ancona Marche Italy ,63.8888888889,30
Toronto,43.653226,-79.3831843,Ontario,Canada,Toronto Ontario Canada ,65.5346820809,37.7994011976
Nice,43.7101728,7.2619532,,France,Nice  France ,53.125,28.9473684211
Pisa,43.7228386,10.4016888,Tuscany,Italy,Pisa Tuscany Italy ,53.125,37.5
Sibenik,43.7350196,15.8952045,Sibenik-Knin County,Croatia,Sibenik Sibenik-Knin County Croatia ,100,0
Monaco,43.7384176,7.4246158,,Monaco,Monaco  Monaco ,28.7878787879,61.3636363636
Florence,43.7695604,11.2558136,Tuscany,Italy,Florence Tuscany Italy ,52.6785714286,36
Urumqi,43.8266299,87.61688,Xinjiang,People's Republic of China,Urumqi Xinjiang People's Republic of China ,16.6666666667,62.5
Lucca,43.8429197,10.5026977,Tuscany,Italy,Lucca Tuscany Italy ,66.6666666667,37.5
Sarajevo,43.8562586,18.4130763,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo Federation of Bosnia and Herzegovina Bosnia and Herzegovina ,25,44.0104166667
Prato,43.8777049,11.102228,Tuscany,Italy,Prato Tuscany Italy ,50,50
San Marino,43.94236,12.457777,,San Marino,San Marino  San Marino ,87.5,50
Avignon,43.949317,4.805528,,France,Avignon  France ,57.1428571429,66.6666666667
Rimini,44.0678288,12.5695158,Emilia-Romagna,Italy,Rimini Emilia-Romagna Italy ,75,62.5
Zadar,44.119371,15.2313648,Zadar County,Croatia,Zadar Zadar County Croatia ,100,8.3333333333
Forli,44.2227398,12.0407312,Emilia-Romagna,Italy,Forli Emilia-Romagna Italy ,58.3333333333,100
Savona,44.2975603,8.4645,Liguria,Italy,Savona Liguria Italy ,66.6666666667,62.5
Cuneo,44.3844766,7.5426711,Piedmont,Italy,Cuneo Piedmont Italy ,82.5,0
Barrie,44.3893556,-79.6903316,Ontario,Canada,Barrie Ontario Canada ,83.8235294118,29.1666666667
Genoa,44.4056499,8.946256,Liguria,Italy,Genoa Liguria Italy ,51.724137931,30
Ravenna,44.4183598,12.2035294,Emilia-Romagna,Italy,Ravenna Emilia-Romagna Italy ,64.2857142857,16.6666666667
Bucharest,44.4267674,26.1025384,,Romania,Bucharest  Romania ,23.5057471264,55.023364486
Bologna,44.494887,11.3426163,Emilia-Romagna,Italy,Bologna Emilia-Romagna Italy ,38.1578947368,28.0303030303
Sevastopol,44.61665,33.525367,,Ukraine,Sevastopol  Ukraine ,75,56.25
Modena,44.647128,10.9252269,Emilia-Romagna,Italy,Modena Emilia-Romagna Italy ,39.0625,50
Halifax,44.6475811,-63.5727683,Nova Scotia,Canada,Halifax Nova Scotia Canada ,84.5744680851,36.25
Novorossiysk,44.7180464,37.7770118,Krasnodar Krai,Russia,Novorossiysk Krasnodar Krai Russia ,33.3333333333,90
Parma,44.801485,10.3279036,Emilia-Romagna,Italy,Parma Emilia-Romagna Italy ,34.375,56.8181818182
Belgrade,44.8125449,20.46123,Belgrade District,Serbia,Belgrade Belgrade District Serbia ,34.8253275109,50.9049773756
Bordeaux,44.837789,-0.57918,,France,Bordeaux  France ,68.4782608696,42.6470588235
Ferrara,44.8381237,11.619787,Emilia-Romagna,Italy,Ferrara Emilia-Romagna Italy ,39.2857142857,50
Pula,44.8666232,13.8495788,Istria County,Croatia,Pula Istria County Croatia ,88.6363636364,27.2727272727
Asti,44.9007512,8.2064257,Piedmont,Italy,Asti Piedmont Italy ,62.5,50
Alessandria,44.9072727,8.6116796,Piedmont,Italy,Alessandria Piedmont Italy ,35.7142857143,56.25
Simferopol,44.952117,34.102417,Republic of Crimea,Russia,Simferopol Republic of Crimea Russia ,18.75,33.3333333333
Saint Paul,44.9537029,-93.0899578,Minnesota,United States of America,Saint Paul Minnesota United States of America ,88.5416666667,30
Minneapolis,44.977753,-93.2650108,Minnesota,United States of America,Minneapolis Minnesota United States of America ,79.5138888889,33.5714285714
Krasnodar,45.036035,38.9745706,Krasnodar Krai,Russia,Krasnodar Krasnodar Krai Russia ,44.4444444444,44.4444444444
Stavropol,45.0390116,41.9631954,Stavropol Krai,Russia,Stavropol Stavropol Krai Russia ,85.7142857143,28.5714285714
Piacenza,45.0526206,9.6929845,Emilia-Romagna,Italy,Piacenza Emilia-Romagna Italy ,62.5,50
Rovinj,45.0811661,13.6387067,Istria County,Croatia,Rovinj Istria County Croatia ,100,25
Cremona,45.133249,10.0226511,Lombardy,Italy,Cremona Lombardy Italy ,50,50
Slavonski Brod,45.1631431,18.0116081,Brod-Posavina County,Croatia,Slavonski Brod Brod-Posavina County Croatia ,27.2727272727,17.8571428571
Tulcea,45.1716165,28.7914439,Tulcea County,Romania,Tulcea Tulcea County Romania ,80,29.1666666667
Grenoble,45.188529,5.724524,,France,Grenoble  France ,34.0909090909,26.4705882353
Porec,45.2271652,13.5947399,Istria County,Croatia,Porec Istria County Croatia ,83.3333333333,8.3333333333
Jixi,45.2952399,130.96954,Heilongjiang,People's Republic of China,Jixi Heilongjiang People's Republic of China ,12.5,50
Rijeka,45.3270631,14.442176,Primorje-Gorski Kotar County,Croatia,Rijeka Primorje-Gorski Kotar County Croatia ,75,17.8571428571
Vukovar,45.3452377,19.0010204,Vukovar-Syrmia County,Croatia,Vukovar Vukovar-Syrmia County Croatia ,25,75
Padua,45.4064349,11.8767611,Veneto,Italy,Padua Veneto Italy ,29.1666666667,50
Ottawa,45.4215296,-75.6971931,Ontario,Canada,Ottawa Ontario Canada ,84.5637583893,27.9929577465
Verona,45.4383842,10.9916215,Veneto,Italy,Verona Veneto Italy ,36.1111111111,42.8571428571
Venice,45.4408474,12.3155151,Veneto,Italy,Venice Veneto Italy ,36.25,67.8571428571
Novara,45.44693,8.6221612,Piedmont,Italy,Novara Piedmont Italy ,65,0
Milan,45.4642035,9.189982,Lombardy,Italy,Milan Lombardy Italy ,24.3975903614,39.4904458599
Karlovac,45.4928973,15.5552683,,Croatia,Karlovac  Croatia ,75,25
Montreal,45.5016889,-73.567256,Quebec,Canada,Montreal Quebec Canada ,70.7602339181,36.963190184
Portland,45.515232,-122.6783853,Oregon,United States of America,Portland Oregon United States of America ,74.1228070175,36.3425925926
Izola,45.5374048,13.6600802,Municipality of Izola,Slovenia,Izola Municipality of Izola Slovenia ,90,10
Brescia,45.5415526,10.2118019,Lombardy,Italy,Brescia Lombardy Italy ,22.65625,70.5357142857
Vicenza,45.5454787,11.5354214,Veneto,Italy,Vicenza Veneto Italy ,45,47.5
Koper,45.548059,13.7301877,City Municipality of Koper,Slovenia,Koper City Municipality of Koper Slovenia ,87.5,0
Osijek,45.5549624,18.6955144,Osijek-Baranja County,Croatia,Osijek Osijek-Baranja County Croatia ,83.75,13.3333333333
Biella,45.5628842,8.0583397,Piedmont,Italy,Biella Piedmont Italy ,87.5,50
Monza,45.5845001,9.2744485,Lombardy,Italy,Monza Lombardy Italy ,42.8571428571,50
Busto Arsizio,45.611892,8.8531265,Lombardy,Italy,Busto Arsizio Lombardy Italy ,0,75
Trieste,45.6495264,13.7768182,Friuli-Venezia Giulia,Italy,Trieste Friuli-Venezia Giulia Italy ,58.8709677419,29
Treviso,45.6668893,12.2430437,Veneto,Italy,Treviso Veneto Italy ,50,27.7777777778
Bergamo,45.6982642,9.6772698,Lombardy,Italy,Bergamo Lombardy Italy ,46.6666666667,35
Villeurbanne,45.771944,4.8901709,,France,Villeurbanne  France ,75,50
Clermont-Ferrand,45.777222,3.087025,,France,Clermont-Ferrand  France ,80.5555555556,15
Como,45.8080597,9.0851765,Lombardy,Italy,Como Lombardy Italy ,58.3333333333,40
Zagreb,45.8150108,15.981919,,Croatia,Zagreb  Croatia ,69.7740112994,26.5988372093
Varese,45.8205989,8.8250576,Lombardy,Italy,Varese Lombardy Italy ,50,33.3333333333
Bjelovar,45.8987972,16.8423093,Bjelovar-Bilogora County,Croatia,Bjelovar Bjelovar-Bilogora County Croatia ,100,0
Gorizia,45.9401812,13.6201754,Friuli-Venezia Giulia,Italy,Gorizia Friuli-Venezia Giulia Italy ,90,25
Nova Gorica,45.9549755,13.6493044,City Municipality of Nova Gorica,Slovenia,Nova Gorica City Municipality of Nova Gorica Slovenia ,75,12.5
Grosuplje,45.9557645,14.658899,Municipality of Grosuplje,Slovenia,Grosuplje Municipality of Grosuplje Slovenia ,100,0
Fredericton,45.9635895,-66.6431151,New Brunswick,Canada,Fredericton New Brunswick Canada ,90,31.25
Idrija,46.0029454,14.0278459,Municipality of Idrija,Slovenia,Idrija Municipality of Idrija Slovenia ,75,25
Lugano,46.0036778,8.951052,Ticino,Switzerland,Lugano Ticino Switzerland ,67.8571428571,12.5
Ljubljana,46.0569465,14.5057515,Ljubljana City Municipality,Slovenia,Ljubljana Ljubljana City Municipality Slovenia ,72.1649484536,17.5824175824
Udine,46.0710668,13.2345794,Friuli-Venezia Giulia,Italy,Udine Friuli-Venezia Giulia Italy ,72.5,33.3333333333
Trento,46.0747793,11.1217486,Trentino-South Tyrol,Italy,Trento Trentino-South Tyrol Italy ,86.7647058824,0
Zagorje ob Savi,46.1345186,14.9945975,Zagorje ob Savi Municipality,Slovenia,Zagorje ob Savi Zagorje ob Savi Municipality Slovenia ,62.5,50
Domzale,46.1419417,14.5944171,Municipality of Domzale,Slovenia,Domzale Municipality of Domzale Slovenia ,50,0
Koprivnica,46.1639381,16.8334752,Koprivnica-Krizevci County,Croatia,Koprivnica Koprivnica-Krizevci County Croatia ,100,0
Skofja Loka,46.1671294,14.3058337,Municipality of Skofja Loka,Slovenia,Skofja Loka Municipality of Skofja Loka Slovenia ,100,0
Geneva,46.2043907,6.1431577,Canton of Geneva,Switzerland,Geneva Canton of Geneva Switzerland ,71.5384615385,17.3728813559
Charlottetown,46.23824,-63.1310704,Prince Edward Island,Canada,Charlottetown Prince Edward Island Canada ,97.5,20
Celje,46.2397495,15.2677063,City Municipality of Celje,Slovenia,Celje City Municipality of Celje Slovenia ,50,8.3333333333
Kranj,46.2428344,14.3555417,City Municipality of Kranj,Slovenia,Kranj City Municipality of Kranj Slovenia ,80.5555555556,12.5
Varazdin,46.305746,16.3366066,Varazdin County,Croatia,Varazdin Varazdin County Croatia ,91.6666666667,33.3333333333
Astrakhan,46.3586008,48.0569482,Astrakhan Oblast,Russia,Astrakhan Astrakhan Oblast Russia ,50,56.25
Velenje,46.3622743,15.1106582,City Municipality of Velenje,Slovenia,Velenje City Municipality of Velenje Slovenia ,75,50
Slovenska Bistrica,46.3919813,15.5727868,Municipality of Slovenska Bistrica,Slovenia,Slovenska Bistrica Municipality of Slovenska Bistrica Slovenia ,100,75
Odessa,46.482526,30.7233095,Odessa Oblast,Ukraine,Odessa Odessa Oblast Ukraine ,50.5,58.8541666667
Slovenj Gradec,46.5075851,15.0768162,City Municipality of Slovenj Gradec,Slovenia,Slovenj Gradec City Municipality of Slovenj Gradec Slovenia ,75,0
Lausanne,46.5196535,6.6322734,Canton of Vaud,Switzerland,Lausanne Canton of Vaud Switzerland ,78.2608695652,17.5
Ravne na Koroskem,46.5448323,14.9660445,Municipality of Ravne na Koroskem,Slovenia,Ravne na Koroskem Municipality of Ravne na Koroskem Slovenia ,75,50
Maribor,46.5546503,15.6458812,Maribor City Municipality,Slovenia,Maribor Maribor City Municipality Slovenia ,76.25,18.75
Poitiers,46.580224,0.340375,,France,Poitiers  France ,87.5,50
Helena,46.5891452,-112.0391057,Montana,United States of America,Helena Montana United States of America ,100,50
Klagenfurt,46.6364598,14.3122246,Carinthia,Austria,Klagenfurt Carinthia Austria ,71.4285714286,16.6666666667
Murska Sobota,46.6581381,16.1610293,City Municipality of Murska Sobota,Slovenia,Murska Sobota City Municipality of Murska Sobota Slovenia ,62.5,50
Fribourg,46.8064773,7.1619719,canton of Fribourg,Switzerland,Fribourg canton of Fribourg Switzerland ,92.8571428571,25
Bismarck,46.8083268,-100.7837392,North Dakota,United States of America,Bismarck North Dakota United States of America ,95.8333333333,50
Quebec City,46.8138783,-71.2079809,Quebec,Canada,Quebec City Quebec Canada ,82.5,43.75
Melitopol,46.8550216,35.3586996,Zaporizhzhia Oblast,Ukraine,Melitopol Zaporizhzhia Oblast Ukraine ,75,50
Bern,46.9479739,7.4474468,Canton of Bern,Switzerland,Bern Canton of Bern Switzerland ,94.3181818182,12.5
Yuzhno-Sakhalinsk,46.9640949,142.7284716,Sakhalin Oblast,Russia,Yuzhno-Sakhalinsk Sakhalin Oblast Russia ,8.3333333333,75
Mykolaiv,46.975033,31.994583,Mykolaiv Oblast,Ukraine,Mykolaiv Mykolaiv Oblast Ukraine ,50,75
Lucerne,47.0501682,8.3093072,Canton of Lucerne,Switzerland,Lucerne Canton of Lucerne Switzerland ,71.6666666667,21.875
Graz,47.070714,15.439504,Styria,Austria,Graz Styria Austria ,53.3333333333,21.1538461538
Mariupol,47.097133,37.543367,Donetsk Oblast,Ukraine,Mariupol Donetsk Oblast Ukraine ,12.5,91.6666666667
Biel/Bienne,47.1367785,7.2467909,Canton of Bern,Switzerland,Biel/Bienne Canton of Bern Switzerland ,37.5,31.25
Vaduz,47.1410303,9.5209277,,Liechtenstein,Vaduz  Liechtenstein ,100,0
Nantes,47.218371,-1.553621,,France,Nantes  France ,72.619047619,20.5882352941
Szombathely,47.2306851,16.6218441,Vas County,Hungary,Szombathely Vas County Hungary ,100,50
Besancon,47.237829,6.0240539,,France,Besancon  France ,87.5,37.5
Innsbruck,47.2692124,11.4041024,Tyrol,Austria,Innsbruck Tyrol Austria ,75,7.8125
Dijon,47.322047,5.04148,,France,Dijon  France ,87.5,12.5
Zurich,47.3768866,8.541694,Canton of Zurich,Switzerland,Zurich Canton of Zurich Switzerland ,83.8095238095,10.7142857143
Aarau,47.390434,8.0457015,Canton Aargau,Switzerland,Aarau Canton Aargau Switzerland ,87.5,0
Tours,47.394144,0.68484,,France,Tours  France ,84.375,6.25
St. Gallen,47.4244818,9.3767173,Canton of St. Gallen,Switzerland,St. Gallen Canton of St. Gallen Switzerland ,96.875,0
Angers,47.4711616,-0.5518257,,France,Angers  France ,100,25
Budapest,47.497912,19.040235,,Hungary,Budapest  Hungary ,40.6103286385,32.375
Bregenz,47.50075,9.74231,Vorarlberg,Austria,Bregenz Vorarlberg Austria ,95,50
Basel,47.5595986,7.5885761,,Switzerland,Basel  Switzerland ,81.6666666667,26.9230769231
Riehen,47.5848274,7.6499111,,Switzerland,Riehen  Switzerland ,100,50
Seattle,47.6062095,-122.3320708,Washington,United States of America,Seattle Washington United States of America ,79.3706293706,36.9485294118
Friedrichshafen,47.6567329,9.4649538,Baden-Wurttemberg,Germany,Friedrichshafen Baden-Wurttemberg Germany ,90,0
Konstanz,47.6779808,9.1736741,Baden-Wurttemberg,Germany,Konstanz Baden-Wurttemberg Germany ,79.1666666667,25
Schaffhausen,47.6958897,8.6380488,Canton of Schaffhausen,Switzerland,Schaffhausen Canton of Schaffhausen Switzerland ,87.5,18.75
Washington,47.7510741,-120.7401386,District of Columbia,United States of America,Washington District of Columbia United States of America ,66.1290322581,49.1071428571
Salzburg,47.80949,13.05501,Salzburg,Austria,Salzburg Salzburg Austria ,82.6923076923,38.8888888889
Kaufbeuren,47.8830175,10.625966,Bavaria,Germany,Kaufbeuren Bavaria Germany ,100,50
Ulaanbaatar,47.8863988,106.9057439,,Mongolia,Ulaanbaatar  Mongolia ,6.862745098,71.7391304348
Orleans,47.902964,1.909251,,France,Orleans  France ,83.3333333333,50
Grand Forks,47.9252568,-97.0328547,North Dakota,United States of America,Grand Forks North Dakota United States of America ,87.5,37.5
Freiburg im Breisgau,47.9990077,7.8421043,Baden-Wurttemberg,Germany,Freiburg im Breisgau Baden-Wurttemberg Germany ,88.3333333333,5
Le Mans,48.00611,0.199556,,France,Le Mans  France ,95,50
Rennes,48.117266,-1.6777926,,France,Rennes  France ,62.5,35
Munich,48.1351253,11.5819806,Bavaria,Germany,Munich Bavaria Germany ,74.4186046512,15.4661016949
Bratislava,48.1485965,17.1077477,Bratislava Region,Slovakia,Bratislava Bratislava Region Slovakia ,62.323943662,32.4626865672
Vienna,48.2081743,16.3738189,,Austria,Vienna  Austria ,82.7054794521,10.1449275362
Nitra,48.3061414,18.076376,Nitra Region,Slovakia,Nitra Nitra Region Slovakia ,75,50
Linz,48.30694,14.28583,Upper Austria,Austria,Linz Upper Austria Austria ,61.7647058824,27.5
Augsburg,48.3705449,10.89779,Bavaria,Germany,Augsburg Bavaria Germany ,73.5294117647,26.9230769231
Trnava,48.370902,17.5833238,Trnava Region,Slovakia,Trnava Trnava Region Slovakia ,60.7142857143,0
Thunder Bay,48.3808951,-89.2476823,Ontario,Canada,Thunder Bay Ontario Canada ,87.5,34.375
Neu-Ulm,48.3891689,10.00286,Bavaria,Germany,Neu-Ulm Bavaria Germany ,100,50
Brest,48.390394,-4.486076,,France,Brest  France ,79.5454545455,35.7142857143
Khabarovsk,48.4814433,135.0720667,Khabarovsk Krai,Russia,Khabarovsk Khabarovsk Krai Russia ,61.1111111111,57.5
Reutlingen,48.4912389,9.2046411,Baden-Wurttemberg,Germany,Reutlingen Baden-Wurttemberg Germany ,85,25
Tübingen,48.5216364,9.0576448,Baden-Wurttemberg,Germany,Tübingen Baden-Wurttemberg Germany ,89.2857142857,8.3333333333
Passau,48.5667364,13.4319466,Bavaria,Germany,Passau Bavaria Germany ,90,0
Strasbourg,48.5734053,7.7521113,,France,Strasbourg  France ,68,47.3684210526
Zvolen,48.5761806,19.1371155,Banska Bystrica Region,Slovakia,Zvolen Banska Bystrica Region Slovakia ,87.5,50
Nancy,48.692054,6.184417,,France,Nancy  France ,47.2222222222,35
Volgograd,48.708048,44.5133034,Volgograd Oblast,Russia,Volgograd Volgograd Oblast Russia ,21.6666666667,59.375
Kosice,48.7163857,21.2610746,Kosice Region,Slovakia,Kosice Kosice Region Slovakia ,52.380952381,35.2941176471
Ingolstadt,48.7667395,11.4226498,Bavaria,Germany,Ingolstadt Bavaria Germany ,100,0
Stuttgart,48.7758459,9.1829321,Baden-Wurttemberg,Germany,Stuttgart Baden-Wurttemberg Germany ,43.125,24.2857142857
Aalen,48.8366887,10.0971163,Baden-Wurttemberg,Germany,Aalen Baden-Wurttemberg Germany ,87.5,50
Deggendorf,48.8414126,12.9572212,Bavaria,Germany,Deggendorf Bavaria Germany ,50,0
Paris,48.856614,2.3522219,Ile-de-France,France,Paris Ile-de-France France ,34.0243902439,43.1216931217
Norman,48.8798704,0.1712529,Oklahoma,United States of America,Norman Oklahoma United States of America ,100,25
Pforzheim,48.8921862,8.6946286,Baden-Wurttemberg,Germany,Pforzheim Baden-Wurttemberg Germany ,85,25
Backnang,48.9471455,9.4341813,Baden-Wurttemberg,Germany,Backnang Baden-Wurttemberg Germany ,100,0
Ceske Budejovice,48.9756578,14.480255,,Czech Republic,Ceske Budejovice  Czech Republic ,65,50
Presov,49.0018324,21.2393119,Presov Region,Slovakia,Presov Presov Region Slovakia ,58.3333333333,25
Karlsruhe,49.0068901,8.4036527,Baden-Wurttemberg,Germany,Karlsruhe Baden-Wurttemberg Germany ,87.5,5.5555555556
Regensburg,49.0134297,12.1016236,Bavaria,Germany,Regensburg Bavaria Germany ,87.5,7.1428571429
Poprad,49.0511221,20.295414,Presov Region,Slovakia,Poprad Presov Region Slovakia ,97.2222222222,10
Ruzomberok,49.0752393,19.3066002,Zilina region,Slovakia,Ruzomberok Zilina region Slovakia ,45,50
Heilbronn,49.1426929,9.210879,Baden-Wurttemberg,Germany,Heilbronn Baden-Wurttemberg Germany ,80,0
Nanaimo,49.1658836,-123.9400647,British Columbia,Canada,Nanaimo British Columbia Canada ,89.7727272727,29.1666666667
Caen,49.182863,-0.370679,,France,Caen  France ,81.25,31.25
Brno,49.1950602,16.6068371,,Czech Republic,Brno  Czech Republic ,55.9322033898,35.1851851852
Maple Ridge,49.2193226,-122.598398,British Columbia,Canada,Maple Ridge British Columbia Canada ,66.6666666667,41.6666666667
Zilina,49.2194498,18.7408001,Zilina region,Slovakia,Zilina Zilina region Slovakia ,55,31.25
Saarbrücken,49.2381697,6.997547,Saarland,Germany,Saarbrücken Saarland Germany ,87.5,12.5
Reims,49.258329,4.031696,,France,Reims  France ,81.25,18.75
Vancouver,49.2827291,-123.1207375,British Columbia,Canada,Vancouver British Columbia Canada ,80.5693069307,31.6666666667
Ansbach,49.3004246,10.5719357,Bavaria,Germany,Ansbach Bavaria Germany ,80,25
Saarlouis,49.3134606,6.7522865,Saarland,Germany,Saarlouis Saarland Germany ,100,50
Heidelberg,49.3987524,8.6724335,Baden-Wurttemberg,Germany,Heidelberg Baden-Wurttemberg Germany ,89.2857142857,25
Landstuhl,49.4141464,7.5709052,Rhineland-Palatinate,Germany,Landstuhl Rhineland-Palatinate Germany ,100,0
Kaiserslautern,49.4400657,7.7491265,Rhineland-Palatinate,Germany,Kaiserslautern Rhineland-Palatinate Germany ,87.5,5
Amberg,49.4403198,11.8633445,Bavaria,Germany,Amberg Bavaria Germany ,100,50
Rouen,49.443232,1.099971,,France,Rouen  France ,47.7272727273,57.1428571429
Nuremberg,49.4521018,11.0766654,Bavaria,Germany,Nuremberg Bavaria Germany ,75,12.5
