City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Abu Dhabi,24.453884,54.3773438,Emirate of Abu Dhabi,United Arab Emirates,Abu Dhabi Emirate of Abu Dhabi United Arab Emirates ,55.98290598,37.99019608,,62.00980392,117.9927099,58.99635495
Medina,24.5246542,39.5691841,Medina Province,Saudi Arabia,Medina Medina Province Saudi Arabia ,20,66.66666667,,33.33333333,53.33333333,26.66666667
Riyadh,24.7135517,46.6752957,Riyadh Province,Saudi Arabia,Riyadh Riyadh Province Saudi Arabia ,33.69565217,44.57364341,,55.42635659,89.12200876,44.56100438
Karachi,24.8607343,67.0011364,Sindh,Pakistan,Karachi Sindh Pakistan ,21.96969697,83.11170213,,16.88829787,38.85799484,19.42899742
Taipei,25.0329636,121.5654268,,Taiwan,Taipei  Taiwan ,52.47933884,44.87179487,,55.12820513,107.607544,53.80377199
Nassau,25.0443312,-77.3503609,,The Bahamas,Nassau  The Bahamas ,50,59.25925926,,40.74074074,90.74074074,45.37037037
Fujairah,25.1288099,56.3264849,Emirate of Fujairah,United Arab Emirates,Fujairah Emirate of Fujairah United Arab Emirates ,25,62.5,,37.5,62.5,31.25
Dubai,25.2048493,55.2707828,Emirate of Dubai,United Arab Emirates,Dubai Emirate of Dubai United Arab Emirates ,48.87387387,39.84615385,,60.15384615,109.02772,54.51386001
Doha,25.2854473,51.5310398,Ad Dawhah,Qatar,Doha Ad Dawhah Qatar ,37.87313433,46.16935484,,53.83064516,91.70377949,45.85188974
Munger,25.3707993,86.4733903,Bihar,India,Munger Bihar India ,100,62.5,,37.5,137.5,68.75
Miami,25.7616798,-80.1917902,Florida,United States of America,Miami Florida United States of America ,70.2020202,47.36842105,,52.63157895,122.8335991,61.41679957
Unaizah,26.090731,43.9875457,Al-Qassim Province,Saudi Arabia,Unaizah Al-Qassim Province Saudi Arabia ,50,50,,50,100,50
Naples,26.1420358,-81.7948103,Campania,Italy,Naples Campania Italy ,28.84615385,55.31914894,,44.68085106,73.52700491,36.76350246
Manama,26.2235305,50.5875935,Capital Governorate,Bahrain,Manama Capital Governorate Bahrain ,40.27777778,46.77419355,,53.22580645,93.50358423,46.75179211
Boca Raton,26.3683064,-80.1289321,Florida,United States of America,Boca Raton Florida United States of America ,94.23076923,34.61538462,,65.38461538,159.6153846,79.80769231
Biratnagar,26.4524746,87.271781,Province No. 1,Nepal,Biratnagar Province No. 1 Nepal ,40,50,,50,90,45
Siliguri,26.7271012,88.3952861,West Bengal,India,Siliguri West Bengal India ,40,67,,33,73,36.5
Dharan,26.806496,87.2846262,Province No. 1,Nepal,Dharan Province No. 1 Nepal ,75,50,,50,125,62.5
Asyut,27.1783117,31.1859257,Asyut Governorate,Egypt,Asyut Asyut Governorate Egypt ,50,25,,75,125,62.5
Hetauda,27.4367653,85.0025539,Bagmati,Nepal,Hetauda Bagmati Nepal ,53.57142857,83.33333333,,16.66666667,70.23809524,35.11904762
Thimphu,27.4712216,89.6339041,Thimphu District,Bhutan,Thimphu Thimphu District Bhutan ,44.64285714,60,,40,84.64285714,42.32142857
Laredo,27.5035613,-99.5075519,Texas,United States of America,Laredo Texas United States of America ,0,100,,0,0,0
Sikar,27.6093912,75.1397935,Rajasthan,India,Sikar Rajasthan India ,58.33333333,87.5,,12.5,70.83333333,35.41666667
Lalitpur,27.6587525,85.3247183,Bagmati,Nepal,Lalitpur Bagmati Nepal ,20.45454545,65,,35,55.45454545,27.72727273
Butwal,27.6865838,83.4322634,,Nepal,Butwal  Nepal ,75,53.125,,46.875,121.875,60.9375
Kathmandu,27.7172453,85.3239605,Bagmati,Nepal,Kathmandu Bagmati Nepal ,11.46341463,80.45685279,,19.54314721,31.00656184,15.50328092
Zunyi,27.7254499,106.92723,Guizhou,People's Republic of China,Zunyi Guizhou People's Republic of China ,0,50,,50,50,25
Wenzhou,27.9949199,120.69939,Zhejiang,People's Republic of China,Wenzhou Zhejiang People's Republic of China ,10,75,,25,35,17.5
Pokhara,28.2095831,83.9855674,,Nepal,Pokhara  Nepal ,65.47619048,71.42857143,,28.57142857,94.04761905,47.02380952
Valencia,28.5210228,-81.4656363,Community of Valencia,Spain,Valencia Community of Valencia Spain ,59.65909091,38.41463415,,61.58536585,121.2444568,60.62222838
