City,Longitude,Latitude,Region,Country,AirQuality,WaterPollution
Bregenz,47.50075,9.74231,Vorarlberg,Austria,95,50
Basel,47.5595986,7.5885761,,Switzerland,81.6666666667,26.9230769231
Riehen,47.5848274,7.6499111,,Switzerland,100,50
Seattle,47.6062095,-122.3320708,Washington,United States of America,79.3706293706,36.9485294118
Friedrichshafen,47.6567329,9.4649538,Baden-Wurttemberg,Germany,90,0
Konstanz,47.6779808,9.1736741,Baden-Wurttemberg,Germany,79.1666666667,25
Schaffhausen,47.6958897,8.6380488,Canton of Schaffhausen,Switzerland,87.5,18.75
Washington,47.7510741,-120.7401386,District of Columbia,United States of America,66.1290322581,49.1071428571
Salzburg,47.80949,13.05501,Salzburg,Austria,82.6923076923,38.8888888889
Kaufbeuren,47.8830175,10.625966,Bavaria,Germany,100,50
Ulaanbaatar,47.8863988,106.9057439,,Mongolia,6.862745098,71.7391304348
Orleans,47.902964,1.909251,,France,83.3333333333,50
Grand Forks,47.9252568,-97.0328547,North Dakota,United States of America,87.5,37.5
Freiburg im Breisgau,47.9990077,7.8421043,Baden-Wurttemberg,Germany,88.3333333333,5
Le Mans,48.00611,0.199556,,France,95,50
Rennes,48.117266,-1.6777926,,France,62.5,35
Munich,48.1351253,11.5819806,Bavaria,Germany,74.4186046512,15.4661016949
Bratislava,48.1485965,17.1077477,Bratislava Region,Slovakia,62.323943662,32.4626865672
Vienna,48.2081743,16.3738189,,Austria,82.7054794521,10.1449275362
Nitra,48.3061414,18.076376,Nitra Region,Slovakia,75,50
Linz,48.30694,14.28583,Upper Austria,Austria,61.7647058824,27.5
Augsburg,48.3705449,10.89779,Bavaria,Germany,73.5294117647,26.9230769231
Trnava,48.370902,17.5833238,Trnava Region,Slovakia,60.7142857143,0
Thunder Bay,48.3808951,-89.2476823,Ontario,Canada,87.5,34.375
Neu-Ulm,48.3891689,10.00286,Bavaria,Germany,100,50
Brest,48.390394,-4.486076,,France,79.5454545455,35.7142857143
Khabarovsk,48.4814433,135.0720667,Khabarovsk Krai,Russia,61.1111111111,57.5
Reutlingen,48.4912389,9.2046411,Baden-Wurttemberg,Germany,85,25
Tübingen,48.5216364,9.0576448,Baden-Wurttemberg,Germany,89.2857142857,8.3333333333
Passau,48.5667364,13.4319466,Bavaria,Germany,90,0
Strasbourg,48.5734053,7.7521113,,France,68,47.3684210526
Zvolen,48.5761806,19.1371155,Banska Bystrica Region,Slovakia,87.5,50
Nancy,48.692054,6.184417,,France,47.2222222222,35
Volgograd,48.708048,44.5133034,Volgograd Oblast,Russia,21.6666666667,59.375
Kosice,48.7163857,21.2610746,Kosice Region,Slovakia,52.380952381,35.2941176471
Ingolstadt,48.7667395,11.4226498,Bavaria,Germany,100,0
Stuttgart,48.7758459,9.1829321,Baden-Wurttemberg,Germany,43.125,24.2857142857
Aalen,48.8366887,10.0971163,Baden-Wurttemberg,Germany,87.5,50
Deggendorf,48.8414126,12.9572212,Bavaria,Germany,50,0
Paris,48.856614,2.3522219,Ile-de-France,France,34.0243902439,43.1216931217
Norman,48.8798704,0.1712529,Oklahoma,United States of America,100,25
Pforzheim,48.8921862,8.6946286,Baden-Wurttemberg,Germany,85,25
Backnang,48.9471455,9.4341813,Baden-Wurttemberg,Germany,100,0
Ceske Budejovice,48.9756578,14.480255,,Czech Republic,65,50
Presov,49.0018324,21.2393119,Presov Region,Slovakia,58.3333333333,25
Karlsruhe,49.0068901,8.4036527,Baden-Wurttemberg,Germany,87.5,5.5555555556
Regensburg,49.0134297,12.1016236,Bavaria,Germany,87.5,7.1428571429
Poprad,49.0511221,20.295414,Presov Region,Slovakia,97.2222222222,10
Ruzomberok,49.0752393,19.3066002,Zilina region,Slovakia,45,50
Heilbronn,49.1426929,9.210879,Baden-Wurttemberg,Germany,80,0
Nanaimo,49.1658836,-123.9400647,British Columbia,Canada,89.7727272727,29.1666666667
Caen,49.182863,-0.370679,,France,81.25,31.25
Brno,49.1950602,16.6068371,,Czech Republic,55.9322033898,35.1851851852
Maple Ridge,49.2193226,-122.598398,British Columbia,Canada,66.6666666667,41.6666666667
Zilina,49.2194498,18.7408001,Zilina region,Slovakia,55,31.25
Saarbrücken,49.2381697,6.997547,Saarland,Germany,87.5,12.5
Reims,49.258329,4.031696,,France,81.25,18.75
Vancouver,49.2827291,-123.1207375,British Columbia,Canada,80.5693069307,31.6666666667
Ansbach,49.3004246,10.5719357,Bavaria,Germany,80,25
Saarlouis,49.3134606,6.7522865,Saarland,Germany,100,50
Heidelberg,49.3987524,8.6724335,Baden-Wurttemberg,Germany,89.2857142857,25
Landstuhl,49.4141464,7.5709052,Rhineland-Palatinate,Germany,100,0
Kaiserslautern,49.4400657,7.7491265,Rhineland-Palatinate,Germany,87.5,5
Amberg,49.4403198,11.8633445,Bavaria,Germany,100,50
Rouen,49.443232,1.099971,,France,47.7272727273,57.1428571429
Nuremberg,49.4521018,11.0766654,Bavaria,Germany,75,12.5
Ludwigshafen,49.4774018,8.4447451,Rhineland-Palatinate,Germany,75,0
Mannheim,49.4874592,8.4660395,Baden-Wurttemberg,Germany,51.0869565217,30.5555555556
Esch-sur-Alzette,49.5024342,5.9722212,,Luxembourg,75,50
Erlangen,49.5896744,11.0119611,Bavaria,Germany,81.25,29.1666666667
Novy Jicin,49.5943251,18.0135356,,Czech Republic,62.5,50
Nowy Sacz,49.6174535,20.7153326,Lesser Poland Voivodeship,Poland,30,100
Worms,49.6341,8.3507,Rhineland-Palatinate,Germany,60,100
Bensheim,49.6861354,8.6187296,Hesse,Germany,87.5,50
Trier,49.749992,6.6371433,Rhineland-Palatinate,Germany,85.7142857143,25
Luxembourg,49.815273,6.129583,,Luxembourg,83.1081081081,20.4545454545
Ostrava,49.8209226,18.2625243,,Czech Republic,28.8461538462,25
Lviv,49.839683,24.029717,Lviv Oblast,Ukraine,51.8656716418,49.2307692308
Bad Kreuznach,49.8440162,7.8731346,Rhineland-Palatinate,Germany,100,50
Darmstadt,49.8728253,8.6511929,Hesse,Germany,71.875,27.5
Amiens,49.894067,2.295753,,France,75,37.5
Winnipeg,49.895136,-97.1383744,Manitoba,Canada,71.3114754098,42.6470588235
Bamberg,49.8988135,10.9027636,Bavaria,Germany,95.8333333333,12.5
Bayreuth,49.9456399,11.5713346,Bavaria,Germany,75,0
Aschaffenburg,49.9806625,9.1355554,Bavaria,Germany,77.7777777778,40
Mainz,49.9928617,8.2472526,Rhineland-Palatinate,Germany,86.1111111111,35
Kharkiv,49.9935,36.230383,Kharkiv Oblast,Ukraine,52.0588235294,58.734939759
Pardubice,50.0343092,15.7811994,,Czech Republic,50,41.6666666667
Rzeszow,50.0411867,21.9991196,Podkarpackie Voivodeship,Poland,37.5,47.0588235294
Schweinfurt,50.0492047,10.2194228,Bavaria,Germany,87.5,62.5
Krakow,50.0646501,19.9449799,Lesser Poland Voivodeship,Poland,12.1987951807,36.5384615385
Prague,50.0755381,14.4378005,,Czech Republic,63.2124352332,25.7062146893
Wiesbaden,50.0782184,8.2397608,Hesse,Germany,73.2142857143,42.5
Raciborz,50.0915234,18.2199165,Silesian Voivodeship,Poland,62.5,50
Offenbach am Main,50.0956362,8.7760843,Hesse,Germany,75,50
Frankfurt,50.1109221,8.6821267,Hesse,Germany,63.3928571429,25.9803921569
Tychy,50.1218007,19.0200022,Silesian Voivodeship,Poland,22.5,43.75
Coburg,50.2612094,10.962695,Bavaria,Germany,100,50
Katowice,50.2648919,19.0237815,Silesian Voivodeship,Poland,27.7777777778,48.3333333333
Blagoveshchensk,50.2660067,127.5356153,Amur Oblast,Russia,25,25
Hof,50.3135391,11.9127814,Bavaria,Germany,75,50
Koblenz,50.3569429,7.5889959,Rhineland-Palatinate,Germany,67.8571428571,41.6666666667
Regina,50.4452112,-104.6188944,Saskatchewan,Canada,68.5714285714,42.7419354839
Fulda,50.5558095,9.6808449,Hesse,Germany,87.5,50
Belgorod,50.5997134,36.5982621,Belgorod Oblast,Russia,75,70.8333333333
Lille,50.62925,3.057256,,France,48.9130434783,35.5263157895
Liege,50.6329586,5.5697498,Wallonia,Belgium,54.5454545455,28.5714285714
Zwickau,50.7069243,12.4591138,Saxony,Germany,75,50
Bonn,50.73743,7.0982068,North Rhine-Westphalia,Germany,82.8125,22.5
Lutsk,50.747233,25.325383,Volyn Oblast,Ukraine,54.1666666667,58.3333333333
Aachen,50.7753455,6.0838868,North Rhine-Westphalia,Germany,70.4545454545,17.8571428571
Brühl,50.8267554,6.8987865,North Rhine-Westphalia,Germany,75,50
Chemnitz,50.8282222,12.9208547,Saxony,Germany,87.5,50
Brussels,50.8476424,4.3571696,,Belgium,35.8108108108,44.7619047619
Hastings,50.854259,0.573453,England,United Kingdom,100,0
Herzogenrath,50.8649918,6.091241,North Rhine-Westphalia,Germany,75,50
Siegen,50.8838492,8.0209591,North Rhine-Westphalia,Germany,91.6666666667,12.5
Gera,50.8851,12.0807,Thuringia,Germany,100,50
Jena,50.927054,11.5892372,Thuringia,Germany,95,75
Cologne,50.937531,6.9602786,North Rhine-Westphalia,Germany,60.7142857143,27.7777777778
Bergheim,50.9451945,6.6555022,North Rhine-Westphalia,Germany,75,50
Calgary,51.0447331,-114.0718831,,Canada,80,24.8502994012
Leverkusen,51.0459248,7.0192196,North Rhine-Westphalia,Germany,83.3333333333,50
Ghent,51.0500182,3.7303351,Flemish Region,Belgium,55.46875,27.6785714286
Dresden,51.0504088,13.7372621,Saxony,Germany,75,7.8947368421
Lokeren,51.1040179,3.9895048,Flemish Region,Belgium,75,50
Wroclaw,51.1078852,17.0385376,Lower Silesian Voivodeship,Poland,25.6880733945,35.4368932039
Dover,51.1278758,1.3134027,Delaware,United States of America,100,50
Solingen,51.1652199,7.0671161,North Rhine-Westphalia,Germany,87.5,50
Sint-Niklaas,51.1653295,4.1386501,Flemish Region,Belgium,25,50
Neuss,51.2041968,6.6879511,North Rhine-Westphalia,Germany,50,75
Bruges,51.2091807,3.2247552,Flemish Region,Belgium,82.5,30
Düsseldorf,51.2277411,6.7734556,North Rhine-Westphalia,Germany,64.8148148148,23.9130434783
Lublin,51.2464536,22.5684463,Lublin Voivodeship,Poland,35.9375,41.6666666667
Wuppertal,51.2562128,7.1507636,North Rhine-Westphalia,Germany,90,0
Canterbury,51.280233,1.0789089,England,United Kingdom,56.25,35.4166666667
Kassel,51.3127114,9.4797461,Hesse,Germany,75,50
Krefeld,51.3345409,6.565208,North Rhine-Westphalia,Germany,87.5,50
Leipzig,51.3396955,12.3730747,Saxony,Germany,84.2105263158,20
Hagen,51.3670777,7.4632841,North Rhine-Westphalia,Germany,100,50
Bath,51.3781018,-2.3596827,England,United Kingdom,40,35
Duisburg,51.4344079,6.7623293,North Rhine-Westphalia,Germany,53.5714285714,31.25
Moers,51.4516041,6.6408148,North Rhine-Westphalia,Germany,62.5,50
Bristol,51.454513,-2.58791,England,United Kingdom,56.8181818182,33.9285714286
Essen,51.4556432,7.0115552,North Rhine-Westphalia,Germany,80,4.1666666667
Bochum,51.4818445,7.2162363,North Rhine-Westphalia,Germany,68.1818181818,25
Cardiff,51.483707,-3.1680962,Wales,United Kingdom,70,20.4545454545
Oberhausen,51.4878429,6.863308,North Rhine-Westphalia,Germany,62.5,50
Halle (Saale),51.4953567,11.9662371,Saxony-Anhalt,Germany,75,0
Nordhausen,51.4983551,10.7931122,Thuringia,Germany,100,50
London,51.5072178,-0.1275862,England,United Kingdom,37.0422535211,40.716374269
Dortmund,51.5135872,7.4652981,North Rhine-Westphalia,Germany,75,15.625
Gelsenkirchen,51.5187651,7.0838411,North Rhine-Westphalia,Germany,62.5,50
Bottrop,51.529086,6.9446888,North Rhine-Westphalia,Germany,80,0
Saratov,51.5461754,46.0154123,Saratov Oblast,Russia,25,60
Soest,51.5714188,8.1105291,North Rhine-Westphalia,Germany,100,50
Recklinghausen,51.6117809,7.1973885,North Rhine-Westphalia,Germany,100,50
Swansea,51.62144,-3.943646,Wales,United Kingdom,80.5555555556,10
Wesel,51.6643079,6.6295679,North Rhine-Westphalia,Germany,100,50
Voronezh,51.6683487,39.1919288,Voronezh Oblast,Russia,36.8421052632,67.1052631579
Hamm,51.6738583,7.8159816,North Rhine-Westphalia,Germany,87.5,50
Paderborn,51.7189205,8.7575093,North Rhine-Westphalia,Germany,75,25
Kursk,51.7482395,36.1947023,Kursk Oblast,Russia,100,50
Oxford,51.7520209,-1.2577263,England,United Kingdom,78.75,26.5625
St Albans,51.752725,-0.339436,England,United Kingdom,62.5,18.75
Cottbus,51.7563108,14.3328679,Brandenburg,Germany,100,50
Lodz,51.7592485,19.4559833,Lodz Voivodeship,Poland,28.8461538462,40.4411764706
Orenburg,51.768156,55.0969796,Orenburg Oblast,Russia,30,60
Bernburg,51.7916385,11.7400999,Saxony-Anhalt,Germany,100,50
Welwyn Garden City,51.8031689,-0.208661,England,United Kingdom,100,0
Cork,51.8985143,-8.4756035,,Ireland,83.3333333333,28.125
Stevenage,51.903761,-0.196612,England,United Kingdom,75,0
Münster,51.9606649,7.6261347,North Rhine-Westphalia,Germany,71.875,25
Bielefeld,52.0302285,8.5324708,North Rhine-Westphalia,Germany,67.8571428571,50
Magdeburg,52.1205333,11.6276237,Saxony-Anhalt,Germany,93.75,6.25
Salzgitter,52.1378659,10.3899126,Lower Saxony,Germany,95,0
Hildesheim,52.154778,9.9579652,Lower Saxony,Germany,62.5,50
Saskatoon,52.157902,-106.6701577,Saskatchewan,Canada,74.3243243243,29.6875
Cambridge,52.1950788,0.1312729,England,United Kingdom,69.8275862069,30.5555555556
Warsaw,52.2296756,21.0122287,Masovian Voivodeship,Poland,27.2727272727,36.0148514851
Red Deer,52.268975,-113.8115599,Alberta,Canada,58.8235294118,42.5
Osnabrück,52.2799112,8.0471788,Lower Saxony,Germany,82.1428571429,0
Irkutsk,52.2854834,104.2890222,Irkutsk Oblast,Russia,53.125,37.5
Minden,52.2923549,8.9160539,North Rhine-Westphalia,Germany,100,50
Frankfurt (Oder),52.3472237,14.5505673,Brandenburg,Germany,70,100
Hannover,52.3759,9.732,Lower Saxony,Germany,75,22.9166666667
Potsdam,52.3905689,13.0644729,Brandenburg,Germany,88.6363636364,10.7142857143
Poznan,52.406374,16.9251681,Greater Poland Voivodeship,Poland,33.0769230769,50.4237288136
Coventry,52.4128163,-1.5089521,England,United Kingdom,56.6666666667,31.8181818182
Wolfsburg,52.4226503,10.7865461,Lower Saxony,Germany,96.875,0
Gomel,52.4313388,30.99367,Gomel Region,Belarus,44.7368421053,53.5714285714
Berlin,52.5200066,13.404954,,Germany,62.3641304348,28.612716763
Lipetsk,52.6121996,39.5981225,Lipetsk Oblast,Russia,37.5,37.5
Tambov,52.7371109,41.4396142,Tambov Oblast,Russia,62.5,45
Nottingham,52.9540223,-1.1549892,England,United Kingdom,54.6875,38.6363636364
Uelzen,52.9652883,10.5573402,Lower Saxony,Germany,100,50
Schwedt/Oder,53.0624695,14.2734639,Brandenburg,Germany,87.5,50
Bremen,53.0792962,8.8016937,,Germany,78.75,15.625
Bydgoszcz,53.1234804,18.0084378,Kuyavian-Pomeranian Voivodeship,Poland,34.5238095238,42.6470588235
Bialystok,53.1324886,23.1688403,Podlaskie Voivodeship,Poland,34.5238095238,52.9411764706
Oldenburg,53.1434501,8.2145521,Lower Saxony,Germany,75,18.75
Samara,53.203772,50.1606382,Samara Oblast,Russia,48.4375,51.5625
Penza,53.2272903,45,Penza Oblast,Russia,37.5,62.5
Dublin,53.3498053,-6.2603097,,Ireland,67.0238095238,39.7058823529
Neustrelitz,53.3601147,13.0730197,Mecklenburg-Western Pomerania,Germany,100,50
Stockport,53.4106316,-2.1575332,England,United Kingdom,75,0
Szczecin,53.4285438,14.5528116,West Pomeranian Voivodeship,Poland,41.3793103448,53.75
Manchester,53.4807593,-2.2426305,England,United Kingdom,52,37.7777777778
Tolyatti,53.508525,49.4182196,Samara Oblast,Russia,36.1111111111,43.75
Wilhelmshaven,53.5323403,8.1068722,Lower Saxony,Germany,100,50
Bremerhaven,53.5395845,8.5809424,,Germany,75,50
Edmonton,53.5461245,-113.4938229,,Canada,72.037037037,27.4621212121
Hamburg,53.5510846,9.9936818,,Germany,70.7627118644,24.5098039216
Schwerin,53.6355022,11.4012499,Mecklenburg-Western Pomerania,Germany,87.5,50
Abakan,53.7175644,91.4293172,Republic of Khakassia,Russia,0,75
Bradford,53.7937996,-1.7563583,England,United Kingdom,37.5,31.25
Leeds,53.8007554,-1.5490774,England,United Kingdom,53.6764705882,19.6428571429
Lübeck,53.8654673,10.6865593,Schleswig-Holstein,Germany,100,25
Minsk,53.9006011,27.558972,,Belarus,60.9223300971,41.40625
York,53.9614205,-1.0739108,England,United Kingdom,81.8181818182,18.75
Rostock,54.0924406,12.0991466,Mecklenburg-Western Pomerania,Germany,90.625,37.5
Saransk,54.2000477,45.1745115,Republic of Mordovia,Russia,0,100
Tula,54.2048,37.6185,Tula Oblast,Russia,33.3333333333,75
Ulyanovsk,54.3186575,48.397776,Ulyanovsk Oblast,Russia,58.3333333333,37.5
Kiel,54.3232927,10.1227652,Schleswig-Holstein,Germany,93.75,25
Gdansk,54.3520252,18.6466384,Pomeranian Voivodeship,Poland,45.5555555556,45
Gdynia,54.5188898,18.5305409,Pomeranian Voivodeship,Poland,49.4186046512,48.6111111111
Belfast,54.597285,-5.93012,Northern Ireland,United Kingdom,76.3513513514,22.7272727273
Ryazan,54.6095418,39.7125857,Ryazan Oblast,Russia,0,91.6666666667
Vilnius,54.6871555,25.2796514,,Lithuania,77.2471910112,20.5882352941
Kaliningrad,54.7104264,20.4522144,Kaliningrad Oblast,Russia,55,55
Ufa,54.734791,55.9578555,Bashkortostan,Russia,20.8333333333,68.1818181818
Smolensk,54.7903112,32.0503663,Smolensk Oblast,Russia,50,54.1666666667
Flensburg,54.7937431,9.4469964,Schleswig-Holstein,Germany,87.5,50
Novosibirsk,54.9832693,82.8963831,Novosibirsk Oblast,Russia,36.4864864865,54.0540540541
Omsk,54.9913545,73.3645204,Omsk Oblast,Russia,16.1764705882,48.5294117647
Chelyabinsk,55.1644419,61.4368431,Chelyabinsk Oblast,Russia,16.6666666667,70.3125
Kemerovo,55.3443282,86.0620865,Kemerovo Oblast,Russia,40,60
Moscow,55.755826,37.6173,,Russia,41.4752650177,49.7252747253
Kazan,55.7878944,49.1233293,Republic of Tatarstan,Russia,41.25,58.3333333333
Glasgow,55.864237,-4.251806,Scotland,United Kingdom,64.9038461538,19.4444444444
Edinburgh,55.953252,-3.188267,Scotland,United Kingdom,75.8196721311,12.5
Krasnoyarsk,56.0152834,92.8932476,Krasnoyarsk Krai,Russia,6.6176470588,49.21875
Helsingborg,56.0464674,12.6945121,Skane County,Sweden,31.25,35
Cheboksary,56.1167663,47.262782,Chuvash Republic,Russia,50,35
Vladimir,56.1428,40.3896,Vladimir Oblast,Russia,37.5,50
Tomsk,56.4884295,84.9480469,Tomsk Oblast,Russia,46.4285714286,51.7857142857
Yoshkar-Ola,56.6418021,47.8895839,Mari El Republic,Russia,100,50
Kalmar,56.6634447,16.356779,Kalmar County,Sweden,100,50
Yekaterinburg,56.8430993,60.6454086,Sverdlovsk Oblast,Russia,27.9069767442,58.3333333333
Tver,56.8587214,35.9175965,Tver Oblast,Russia,62.5,37.5
Izhevsk,56.8618601,53.2324285,Udmurt Republic,Russia,33.3333333333,70.8333333333
Riga,56.9496487,24.1051864,,Latvia,62.5,31.9565217391
Ivanovo,57.0050671,40.9766453,Ivanovo Oblast,Russia,33.3333333333,87.5
Aberdeen,57.1498891,-2.0937528,Scotland,United Kingdom,79.7619047619,14.7058823529
Tyumen,57.1553394,65.5618636,Tyumen Oblast,Russia,66.6666666667,55
Yaroslavl,57.6260744,39.8844708,Yaroslavl Oblast,Russia,16.6666666667,58.3333333333
Molndal,57.65,12.016667,Vastra Gotaland County,Sweden,100,50
Gothenburg,57.70887,11.97456,Vastra Gotaland County,Sweden,82.2580645161,20.5357142857
Pskov,57.8166994,28.3344734,Pskov Oblast,Russia,100,50
Perm,58.0091683,56.2269674,Perm Krai,Russia,44.4444444444,50
Juneau,58.3019444,-134.4197222,Alaska,United States of America,100,25
Tartu,58.377983,26.7290383,Tartu County,Estonia,92.5925925926,11.9565217391
Skovde,58.3902782,13.8461208,Vastra Gotaland County,Sweden,100,0
Linkoping,58.410807,15.6213727,Ostergotland County,Sweden,85,0
Veliky Novgorod,58.5255698,31.2741928,Novgorod Oblast,Russia,100,50
Kirov,58.6030012,49.6679437,Kirov Oblast,Russia,66.6666666667,66.6666666667
Cherepovets,59.132333,37.9091811,Vologda Oblast,Russia,0,100
Vologda,59.2180665,39.8978052,Vologda Oblast,Russia,62.5,25
Orebro,59.2752626,15.2134105,Orebro County,Sweden,87.5,12.5
Stockholm,59.3293235,18.0685808,Stockholm County,Sweden,83.2061068702,15.0390625
Tallinn,59.4369608,24.7535746,Harju County,Estonia,81.887755102,18.6170212766
Vasteras,59.6099005,16.5448091,Vastmanland County,Sweden,80.7692307692,16.6666666667
Uppsala,59.8585638,17.6389267,Uppsala County,Sweden,88.5416666667,7.8947368421
Oslo,59.9138688,10.7522454,,Norway,74.7572815534,14.175257732
Saint Petersburg,59.9310584,30.3609097,,Russia,43.1034482759,54.8816568047
Helsinki,60.1698557,24.938379,Uusimaa,Finland,89.880952381,15.4958677686
Bergen,60.3912628,5.3220544,Vestland,Norway,80.303030303,17.5925925926
Turku,60.4518126,22.2666303,,Finland,90,11.6666666667
Whitehorse,60.7211871,-135.0568449,Yukon,Canada,92.5,12.5
Lahti,60.9826749,25.6612096,,Finland,90.9090909091,14.2857142857
Rauma,61.1308854,21.5059264,,Finland,100,0
Anchorage,61.2175758,-149.8996785,Alaska,United States of America,90,18.75
Tampere,61.4977524,23.7609535,,Finland,86.6071428571,13.5416666667
Petrozavodsk,61.7781617,34.3640396,Karelia,Russia,58.3333333333,25
Yakutsk,62.0396912,129.7422193,Sakha Republic,Russia,58.3333333333,87.5
Yellowknife,62.4539717,-114.3717886,Northwest Territories,Canada,87.5,43.75
Trondheim,63.4305149,10.3950528,Trondelag,Norway,91,9.2105263158
Iqaluit,63.746693,-68.5169669,Nunavut,Canada,50,50
Umea,63.8258471,20.2630354,Vasterbotten County,Sweden,97.2222222222,0
Reykjavik,64.146582,-21.9426354,,Iceland,86.6847826087,5.1136363636
Arkhangelsk,64.5458549,40.5505768,Arkhangelsk Oblast,Russia,43.75,50
Akureyri,65.6825509,-18.0906858,,Iceland,85,75
Bodo,67.2803556,14.404916,Nordland,Norway,100,0
Murmansk,68.9733113,33.0855848,Murmansk Oblast,Russia,57.1428571429,14.2857142857
Olympia,47.0378741,-122.9006951,Washington,United States of America,87.5,18.75
Palikir,6.9147118,158.1610274,Pohnpei State,Federated States of Micronesia,100,100
Santiago de los Caballeros,19.4791963,-70.6930568,Santiago Province,Dominican Republic,35,66.66666667
Ningbo,29.868336,121.54399,Zhejiang,People's Republic of China,20.3125,75
Belo Horizonte,-19.919052,-43.9386685,Minas Gerais,Brazil,51.171875,47.45762712
Nimes,43.836699,4.360054,,France,75,50
Le Havre,49.49437,0.107929,,France,75,25
Agra,27.1766701,78.0080745,Uttar Pradesh,India,23.61111111,69.82758621
Harbin,45.7567307,126.6424173,Heilongjiang,People's Republic of China,14.28571429,57.5
Donetsk,48.015883,37.80285,Donetsk Oblast,Ukraine,20,65
Aigle,46.3190253,6.970566,Canton of Vaud,Switzerland,75,25
Cincinnati,39.1031182,-84.5120196,Ohio,United States of America,57.57575758,43.10344828
Omaha,41.2565369,-95.9345034,Nebraska,United States of America,78.57142857,32.35294118
Fresno,36.7377981,-119.7871247,California,United States of America,21.25,78.125
Plymouth,50.3754565,-4.1426565,England,United Kingdom,73.80952381,23.61111111
Edirne,41.6771297,26.5557145,Edirne Province,Turkey,33.33333333,50
Richmond,37.5407246,-77.4360481,Virginia,United States of America,73.17073171,27.63157895
Chandigarh,30.7333148,76.7794179,,India,54.41176471,58.11688312
Plzen,49.7384314,13.3736371,,Czech Republic,65,42.85714286
Fortaleza,-3.7327203,-38.5270134,Ceara,Brazil,66.66666667,56.94444444
Derby,52.9225301,-1.4746186,England,United Kingdom,73.07692308,21.15384615
Guayaquil,-2.1894128,-79.8890662,Guayas Province,Ecuador,41.21621622,70.51282051
Cotonou,6.3702928,2.3912362,Littoral Department,Benin,25,100
Louisville,38.2526647,-85.7584557,Kentucky,United States of America,56.06060606,38.79310345
Madison,43.0721661,-89.4007501,Wisconsin,United States of America,86.76470588,40.32258065
Salem,44.9428975,-123.0350963,Oregon,United States of America,87.5,17.85714286
Ketchikan,55.3422222,-131.6461111,Alaska,United States of America,100,50
Trois-Rivieres,46.342982,-72.5420716,Quebec,Canada,82.14285714,0
Vaughan,43.8563158,-79.5085383,Ontario,Canada,80.88235294,28.33333333
Markham,43.8561002,-79.3370188,Ontario,Canada,89.58333333,17.70833333
La Plata,-34.9204948,-57.9535657,Buenos Aires Province,Argentina,40.90909091,63.63636364
Toulon,43.124228,5.928,,France,60,41.66666667
Brampton,43.7315479,-79.7624177,Ontario,Canada,70.83333333,39.88095238
Cordoba,-31.4200833,-64.1887761,Cordoba Province,Argentina,35,58.33333333
Santa Rosa,-36.620922,-64.2912369,La Pampa,Argentina,75,75
San Salvador de Jujuy,-24.1857864,-65.2994767,Province of Jujuy,Argentina,75,50
La Rioja,-29.4134538,-66.8564579,La Rioja Province,Argentina,100,50
Mendoza,-32.8894587,-68.8458386,Mendoza,Argentina,65.625,53.57142857
Viedma,-40.8119087,-62.9962044,Rio Negro Province,Argentina,100,75
San Luis,-33.3017267,-66.3377522,San Luis Province,Argentina,75,50
Santiago del Estero,-27.7833574,-64.264167,Santiago del Estero Province,Argentina,75,25
Charleston,38.3498195,-81.6326234,West Virginia,United States of America,95,50
Bugibba,35.9483715,14.4109558,,Malta,40,65
Viljandi,58.363476,25.5859691,Viljandi County,Estonia,100,37.5
Tulsa,36.1539816,-95.992775,Oklahoma,United States of America,75,38.63636364
Paide,58.887858,25.5411706,Jarva County,Estonia,100,0
Monte Carlo,43.737411,7.420816,Commune of Monaco,Monaco,22.72727273,43.75
Trabzon,41.0026969,39.7167633,Trabzon Province,Turkey,27.77777778,25
Herat,34.352865,62.2040287,Herat,Afghanistan,43.75,31.25
Coimbra,40.2033145,-8.4102573,Coimbra,Portugal,82.35294118,41.17647059
Kandahar,31.628871,65.7371749,Kandahar,Afghanistan,0,75
Limoges,45.833619,1.261105,,France,100,0
Pecs,46.0727345,18.232266,Baranya County,Hungary,62.5,25
Dunkirk,51.0343684,2.3767763,,France,36.11111111,45
Gifu,35.4234226,136.7606217,Gifu Prefecture,Japan,62.5,50
Guelma,36.8020508,7.5247243,Annaba Province,Algeria,25,50
Sfax,34.739822,10.7600196,Sfax Governorate,Tunisia,11.11111111,70.83333333
Suceava,47.6634521,26.2732302,Suceava County,Romania,71.875,37.5
Kavaje,41.1844529,19.5627596,Tirana County,Albania,100,75
Sendai,38.268195,140.869418,Miyagi Prefecture,Japan,87.5,25
Alcala de Henares,40.4843898,-3.3688023,Community of Madrid,Spain,75,50
Espoo,60.2054911,24.6559001,Uusimaa,Finland,95.45454545,19.44444444
Saint-Denis,-20.8906596,55.4550536,Reunion,France,75,50
Oulu,65.0120888,25.4650773,,Finland,86.95652174,12.5
Santa Monica,34.0194543,-118.4911912,California,United States of America,66.66666667,54.16666667
Hassan,13.0033234,76.1003894,Karnataka,India,68.18181818,60.71428571
Palo Alto,37.4418834,-122.1430195,California,United States of America,56.25,50
Green Bay,44.5133188,-88.0132958,Wisconsin,United States of America,63.88888889,50
Aix-en-Provence,43.529742,5.447427,,France,78.57142857,50
Torun,53.0137902,18.5984437,Kuyavian-Pomeranian Voivodeship,Poland,37.5,42.85714286
